[2020-09-02 09:52:32]	select * from _tbl_admin where UserName='admin@admin.com' and Password='123456789' 
[2020-09-02 10:01:09]	select * from _tbl_tour
[2020-09-02 10:01:44]	select * from _tbl_sliders
[2020-09-02 10:02:08]	insert into `_tbl_sliders` (`SliderImage`,`AddedOn`) values ('slider2.jpg','2020-09-02 10:02:08')
[2020-09-02 10:04:22]	insert into `_tbl_sliders` (`SliderImage`,`AddedOn`) values ('slider3.jpg','2020-09-02 10:04:22')
[2020-09-02 10:04:48]	insert into `_tbl_sliders` (`SliderImage`,`AddedOn`) values ('slider7.jpg','2020-09-02 10:04:48')
[2020-09-02 10:05:21]	select * from _tbl_sliders
[2020-09-02 10:05:37]	select * from _tbl_sliders
[2020-09-02 10:06:08]	select * from _tbl_sliders
[2020-09-02 10:07:14]	select * from _tbl_sliders
[2020-09-02 10:07:19]	DELETE FROM _tbl_sliders where SliderID='1'
[2020-09-02 10:07:20]	select * from _tbl_sliders
[2020-09-02 10:07:24]	select * from _tbl_sliders
[2020-09-02 10:07:33]	select * from _tbl_sliders
[2020-09-02 10:08:17]	insert into `_tbl_sliders` (`SliderImage`,`AddedOn`) values ('slider2.jpg','2020-09-02 10:08:17')
[2020-09-02 10:09:17]	select * from _tbl_sliders
[2020-09-02 10:10:02]	select * from _tbl_sliders
[2020-09-02 10:10:22]	select * from _tbl_sliders
[2020-09-02 11:58:53]	select * from _tbl_sliders
[2020-09-02 11:58:57]	select * from _tbl_sliders
[2020-09-02 12:01:19]	select * from _tbl_contactus
[2020-09-02 12:02:31]	select * from _tbl_contactus order by ContactID DESC
[2020-09-02 12:09:18]	select * from _tbl_contactus order by ContactID DESC
[2020-09-02 12:10:08]	select * from _tbl_contactus order by ContactID DESC
[2020-09-02 12:10:12]	select * from _tbl_contactus where md5(ContactID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-02 12:13:30]	select * from _tbl_contactus order by ContactID DESC
[2020-09-02 12:13:34]	select * from _tbl_contactus where md5(ContactID)='8f14e45fceea167a5a36dedd4bea2543'
[2020-09-02 12:14:10]	select * from _tbl_contactus order by ContactID DESC
[2020-09-02 12:14:14]	select * from _tbl_contactus where md5(ContactID)='8f14e45fceea167a5a36dedd4bea2543'
