[2020-12-04 14:39:03]	select * from _tbl_store_types where IsActive='1'
[2020-12-04 23:30:01]	insert into `_tbl_payout_log` (`PayoutDate`,`CreatedOn`,`EndedOn`,`FileName`,`CompanyCollectedPV`,`TotalPayoutAmount`) values ('2020-12-04','2020-12-04 23:30:01','2020-12-04 23:30:01','temp_payout_2020_12_04_23_30_01.txt','0','0')
[2020-12-04 23:30:01]	select * from `_tbl_Members` Where `IsBinaryEligible`=0 and Date(CreatedOn)<=Date('2020-12-04')
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00019'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00020'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00021'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00022'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00023'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00024'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00025'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00026'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00027'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00028'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTFAT00034'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTFAT00035'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNOO00036'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKEM00037'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKEM00038'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEE00040'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMUR00041'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTEBI00043'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTRAM00044'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTCAT00045'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTVAS00046'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEL00048'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEL00049'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMAR00051'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMAR00052'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNAV00053'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNAN00054'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTBAB00056'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSAN00057'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTANJ00061'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTANJ00062'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTCHA00063'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTAYU00065'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTHUM00066'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTFOU00067'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTAMR00068'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTDAR00070'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTBHA00072'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTVIN00073'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKCC00074'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTVIN00075'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSHI00076'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTHAL00077'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKNB00079'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKNB00080'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTJAY00081'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSHA00082'
[2020-12-04 23:30:01]	select * from `_tbl_Members` Where `IsPayoutEligible`='0' and Date(CreatedOn)<=Date('2020-12-04')
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00019'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00019'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00020'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00020'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00021'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00021'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00022'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00022'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00023'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00023'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00024'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00024'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00025'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00025'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00026'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00026'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00027'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00027'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTPRE00028'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTPRE00028'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTFAT00034'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTFAT00034'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTFAT00035'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTFAT00035'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNOO00036'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTNOO00036'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKEM00037'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTKEM00037'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTKEM00038'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTKEM00038'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEE00040'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTSEE00040'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMUR00041'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTMUR00041'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTEBI00043'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTEBI00043'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTRAM00044'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTRAM00044'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTCAT00045'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTCAT00045'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTVAS00046'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTVAS00046'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEL00048'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTSEL00048'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSEL00049'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTSEL00049'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMAR00051'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTMAR00051'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTMAR00052'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTMAR00052'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNAV00053'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTNAV00053'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTNAN00054'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTNAN00054'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTBAB00056'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTBAB00056'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTSAN00057'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTSAN00057'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTANJ00061'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTANJ00061'
[2020-12-04 23:30:01]	select * from _tbl_Members where MemberCode='WTANJ00062'
[2020-12-04 23:30:01]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTANJ00062'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTCHA00063'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTCHA00063'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTAYU00065'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTAYU00065'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTHUM00066'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTHUM00066'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTFOU00067'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTFOU00067'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTAMR00068'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTAMR00068'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTDAR00070'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTDAR00070'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTBHA00072'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTBHA00072'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTVIN00073'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTVIN00073'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTKCC00074'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTKCC00074'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTVIN00075'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTVIN00075'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTSHI00076'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTSHI00076'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTHAL00077'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTHAL00077'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTKNB00079'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTKNB00079'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTKNB00080'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTKNB00080'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTJAY00081'
[2020-12-04 23:30:02]	update `_tbl_Members` set `IsPayoutEligible`='0'  where `MemberCode`='WTJAY00081'
[2020-12-04 23:30:02]	select * from _tbl_Members where MemberCode='WTSHA00082'
